date,pe
2005-04-08,14.98
2005-04-11,15.12
2005-04-12,14.75
2005-04-13,15.12
2005-04-14,14.99
2005-04-15,14.79
2005-04-18,14.61
2005-04-19,14.58
2005-04-20,14.39
2005-04-21,14.3
2005-04-22,14.33
2005-04-25,14.15
2005-04-26,14.28
2005-04-27,14.09
2005-04-28,14.3
2005-04-29,13.99
2005-05-09,13.71
2005-05-10,13.81
2005-05-11,13.64
2005-05-12,13.32
2005-05-13,13.33
2005-05-16,13.16
2005-05-17,13.15
2005-05-18,13.15
2005-05-19,13.15
2005-05-20,13.12
2005-05-23,12.79
2005-05-24,12.75
2005-05-25,12.72
2005-05-26,12.56
2005-05-27,12.47
2005-05-30,12.57
2005-05-31,12.58
2005-06-01,12.3
2005-06-02,12.02
2005-06-03,11.98
2005-06-06,12.26
2005-06-07,12.19
2005-06-08,13.22
2005-06-09,13.39
2005-06-10,13.09
2005-06-13,13.06
2005-06-14,12.94
2005-06-15,12.71
2005-06-16,12.86
2005-06-17,12.85
2005-06-20,13.22
2005-06-21,13.03
2005-06-22,13.02
2005-06-23,12.95
2005-06-24,13.06
2005-06-27,13.31
2005-06-28,13.12
2005-06-29,13.06
2005-06-30,12.76
2005-07-01,12.47
2005-07-04,12.42
2005-07-05,12.31
2005-07-06,12.24
2005-07-07,12.3
2005-07-08,12.11
2005-07-11,12.04
2005-07-12,12.44
2005-07-13,12.34
2005-07-14,12.39
2005-07-15,12.26
2005-07-18,12.16
2005-07-19,12.16
2005-07-20,12.26
2005-07-21,12.28
2005-07-22,12.58
2005-07-25,12.56
2005-07-26,12.88
2005-07-27,13.08
2005-07-28,13.03
2005-07-29,12.94
2005-08-01,12.98
2005-08-02,13.15
2005-08-03,13.19
2005-08-04,13.14
2005-08-05,13.42
2005-08-08,13.52
2005-08-09,13.63
2005-08-10,13.75
2005-08-11,13.95
2005-08-12,13.73
2005-08-15,13.88
2005-08-16,13.58
2005-08-17,13.69
2005-08-18,13.11
2005-08-19,13.12
2005-08-22,13.23
2005-08-23,13.16
2005-08-24,13.33
2005-08-25,13.35
2005-08-26,13.35
2005-08-29,12.98
2005-08-30,12.85
2005-08-31,12.88
2005-09-01,13.1
2005-09-02,13.13
2005-09-05,13.13
2005-09-06,12.93
2005-09-07,13.12
2005-09-08,13.12
2005-09-09,13.09
2005-09-12,13.05
2005-09-13,13.23
2005-09-14,13.33
2005-09-15,13.31
2005-09-16,13.25
2005-09-19,13.27
2005-09-20,13.15
2005-09-21,12.87
2005-09-22,12.62
2005-09-23,12.57
2005-09-26,12.59
2005-09-27,12.37
2005-09-28,12.36
2005-09-29,12.6
2005-09-30,12.63
2005-10-10,12.47
2005-10-11,12.64
2005-10-12,12.65
2005-10-13,12.53
2005-10-14,12.38
2005-10-17,12.24
2005-10-18,12.31
2005-10-19,12.23
2005-10-20,12.27
2005-10-21,12.29
2005-10-24,12.26
2005-10-25,12.06
2005-10-26,11.76
2005-10-27,11.81
2005-10-28,11.7
2005-10-31,11.78
2005-11-01,11.91
2005-11-02,12.02
2005-11-03,11.94
2005-11-04,11.97
2005-11-07,11.92
2005-11-08,11.99
2005-11-09,11.99
2005-11-10,11.82
2005-11-11,11.83
2005-11-14,11.76
2005-11-15,11.77
2005-11-16,11.86
2005-11-17,11.86
2005-11-18,12.08
2005-11-21,12.06
2005-11-22,11.85
2005-11-23,11.92
2005-11-24,11.99
2005-11-25,12.01
2005-11-28,11.96
2005-11-29,11.84
2005-11-30,11.85
2005-12-01,11.85
2005-12-02,11.84
2005-12-05,11.75
2005-12-06,11.87
2005-12-07,12.0
2005-12-08,12.01
2005-12-09,12.15
2005-12-12,12.17
2005-12-13,12.2
2005-12-14,12.28
2005-12-15,12.28
2005-12-16,12.31
2005-12-19,12.36
2005-12-20,12.4
2005-12-21,12.34
2005-12-22,12.39
2005-12-23,12.48
2005-12-26,12.62
2005-12-27,12.56
2005-12-28,12.59
2005-12-29,12.74
2005-12-30,12.61
2006-01-04,12.81
2006-01-05,13.02
2006-01-06,13.12
2006-01-09,13.16
2006-01-10,13.21
2006-01-11,13.08
2006-01-12,13.21
2006-01-13,13.11
2006-01-16,12.92
2006-01-17,13.02
2006-01-18,13.26
2006-01-19,13.44
2006-01-20,13.49
2006-01-23,13.47
2006-01-24,13.44
2006-01-25,13.56
2006-02-06,13.9
2006-02-07,13.82
2006-02-08,13.88
2006-02-09,13.66
2006-02-10,13.8
2006-02-13,13.76
2006-02-14,13.84
2006-02-15,14.02
2006-02-16,13.72
2006-02-17,13.72
2006-02-20,13.78
2006-02-21,14.03
2006-02-22,13.99
2006-02-23,14.02
2006-02-24,14.09
2006-02-27,14.1
2006-02-28,14.08
2006-03-01,14.13
2006-03-02,13.86
2006-03-03,13.96
2006-03-06,13.89
2006-03-07,13.57
2006-03-08,13.44
2006-03-09,13.4
2006-03-10,13.4
2006-03-13,13.66
2006-03-14,13.64
2006-03-15,13.81
2006-03-16,13.79
2006-03-17,13.7
2006-03-20,13.91
2006-03-21,13.95
2006-03-22,14.01
2006-03-23,14.06
2006-03-24,14.01
2006-03-27,14.13
2006-03-28,14.15
2006-03-29,14.23
2006-03-30,14.07
2006-03-31,14.03
2006-04-03,13.82
2006-04-04,13.99
2006-04-05,14.08
2006-04-06,14.1
2006-04-07,14.06
2006-04-10,14.2
2006-04-11,14.31
2006-04-12,14.3
2006-04-13,14.13
2006-04-14,14.43
2006-04-17,14.68
2006-04-18,14.81
2006-04-19,14.86
2006-04-20,14.73
2006-04-21,15.29
2006-04-24,15.32
2006-04-25,15.33
2006-04-26,15.43
2006-04-27,15.49
2006-04-28,15.8
2006-05-08,16.64
2006-05-09,17.0
2006-05-10,17.12
2006-05-11,16.96
2006-05-12,17.64
2006-05-15,18.36
2006-05-16,17.84
2006-05-17,17.89
2006-05-18,17.73
2006-05-19,18.12
2006-05-22,17.99
2006-05-23,17.44
2006-05-24,17.4
2006-05-25,17.33
2006-05-26,17.55
2006-05-29,17.92
2006-05-30,17.94
2006-05-31,17.7
2006-06-01,18.07
2006-06-02,17.8
2006-06-05,17.93
2006-06-06,17.84
2006-06-07,16.92
2006-06-08,16.98
2006-06-09,16.57
2006-06-12,16.6
2006-06-13,16.49
2006-06-14,16.23
2006-06-15,16.25
2006-06-16,16.74
2006-06-19,16.87
2006-06-20,16.88
2006-06-21,16.96
2006-06-22,16.9
2006-06-23,16.99
2006-06-26,17.33
2006-06-27,17.37
2006-06-28,17.39
2006-06-29,17.76
2006-06-30,17.79
2006-07-03,18.29
2006-07-04,18.08
2006-07-05,17.79
2006-07-06,18.09
2006-07-07,17.94
2006-07-10,17.91
2006-07-11,17.97
2006-07-12,17.96
2006-07-13,17.09
2006-07-14,17.19
2006-07-17,17.4
2006-07-18,17.37
2006-07-19,19.18
2006-07-20,19.18
2006-07-21,19.24
2006-07-24,19.23
2006-07-25,19.45
2006-07-26,19.44
2006-07-27,19.31
2006-07-28,19.09
2006-07-31,18.52
2006-08-01,18.29
2006-08-02,18.29
2006-08-03,18.28
2006-08-04,17.96
2006-08-07,17.71
2006-08-08,18.11
2006-08-09,18.01
2006-08-10,18.31
2006-08-11,18.28
2006-08-14,17.91
2006-08-15,18.08
2006-08-16,18.34
2006-08-17,18.17
2006-08-18,18.06
2006-08-21,18.07
2006-08-22,18.18
2006-08-23,18.08
2006-08-24,18.15
2006-08-25,18.17
2006-08-28,18.45
2006-08-29,18.53
2006-08-30,18.61
2006-08-31,18.61
2006-09-01,18.4
2006-09-04,18.58
2006-09-05,18.62
2006-09-06,18.72
2006-09-07,18.39
2006-09-08,18.47
2006-09-11,18.55
2006-09-12,18.82
2006-09-13,18.78
2006-09-14,18.77
2006-09-15,19.16
2006-09-18,19.24
2006-09-19,19.25
2006-09-20,19.18
2006-09-21,19.27
2006-09-22,19.19
2006-09-25,19.12
2006-09-26,18.99
2006-09-27,19.12
2006-09-28,19.24
2006-09-29,19.39
2006-10-09,19.82
2006-10-10,19.16
2006-10-11,19.2
2006-10-12,19.13
2006-10-13,19.18
2006-10-16,19.01
2006-10-17,18.82
2006-10-18,19.04
2006-10-19,19.06
2006-10-20,19.07
2006-10-23,18.77
2006-10-24,19.24
2006-10-25,19.29
2006-10-26,19.3
2006-10-27,18.91
2006-10-30,18.52
2006-10-31,18.3
2006-11-01,18.54
2006-11-02,18.5
2006-11-03,18.61
2006-11-06,18.93
2006-11-07,19.01
2006-11-08,18.73
2006-11-09,19.05
2006-11-10,20.49
2006-11-13,20.43
2006-11-14,20.7
2006-11-15,21.12
2006-11-16,21.46
2006-11-17,21.83
2006-11-20,22.42
2006-11-21,22.66
2006-11-22,22.68
2006-11-23,22.91
2006-11-24,22.7
2006-11-27,22.57
2006-11-28,22.44
2006-11-29,22.64
2006-11-30,23.21
2006-12-01,23.18
2006-12-04,23.87
2006-12-05,23.95
2006-12-06,23.82
2006-12-07,23.86
2006-12-08,23.24
2006-12-11,24.28
2006-12-12,24.79
2006-12-13,24.83
2006-12-14,25.1
2006-12-15,25.4
2006-12-18,26.14
2006-12-19,26.52
2006-12-20,26.5
2006-12-21,26.15
2006-12-22,26.1
2006-12-25,27.36
2006-12-26,28.01
2006-12-27,28.68
2006-12-28,29.24
2006-12-29,30.66
2007-01-04,31.27
2007-01-05,30.13
2007-01-08,30.78
2007-01-09,32.01
2007-01-10,32.16
2007-01-11,31.39
2007-01-12,30.3
2007-01-15,31.78
2007-01-16,32.05
2007-01-17,31.49
2007-01-18,31.07
2007-01-19,31.91
2007-01-22,32.92
2007-01-23,37.6
2007-01-24,37.54
2007-01-25,35.98
2007-01-26,36.35
2007-01-29,37.04
2007-01-30,36.82
2007-01-31,34.95
2007-02-01,34.91
2007-02-02,33.34
2007-02-05,32.42
2007-02-06,33.19
2007-02-07,33.68
2007-02-08,33.86
2007-02-09,33.72
2007-02-12,34.67
2007-02-13,34.82
2007-02-14,35.75
2007-02-15,36.89
2007-02-16,36.85
2007-02-26,37.18
2007-02-27,33.84
2007-02-28,35.15
2007-03-01,34.07
2007-03-02,34.44
2007-03-05,33.79
2007-03-06,34.54
2007-03-07,35.19
2007-03-08,35.48
2007-03-09,35.56
2007-03-12,35.65
2007-03-13,35.7
2007-03-14,34.91
2007-03-15,36.19
2007-03-16,35.86
2007-03-19,36.84
2007-03-20,36.54
2007-03-21,36.77
2007-03-22,36.84
2007-03-23,35.01
2007-03-26,35.48
2007-03-27,35.55
2007-03-28,36.01
2007-03-29,36.61
2007-03-30,36.37
2007-04-02,36.84
2007-04-03,37.25
2007-04-04,35.82
2007-04-05,36.06
2007-04-06,36.07
2007-04-09,36.89
2007-04-10,37.03
2007-04-11,37.44
2007-04-12,37.36
2007-04-13,37.24
2007-04-16,36.77
2007-04-17,36.54
2007-04-18,35.8
2007-04-19,34.1
2007-04-20,35.33
2007-04-23,36.51
2007-04-24,36.49
2007-04-25,36.62
2007-04-26,36.71
2007-04-27,35.17
2007-04-30,34.88
2007-05-08,36.6
2007-05-09,37.26
2007-05-10,37.58
2007-05-11,37.22
2007-05-14,37.49
2007-05-15,36.12
2007-05-16,36.85
2007-05-17,37.31
2007-05-18,37.86
2007-05-21,38.1
2007-05-22,38.35
2007-05-23,38.89
2007-05-24,38.67
2007-05-25,38.8
2007-05-28,39.71
2007-05-29,40.78
2007-05-30,38.24
2007-05-31,39.27
2007-06-01,38.56
2007-06-04,35.36
2007-06-05,36.49
2007-06-06,36.56
2007-06-07,37.5
2007-06-08,37.65
2007-06-11,38.44
2007-06-12,39.08
2007-06-13,39.98
2007-06-14,39.35
2007-06-15,39.46
2007-06-18,40.61
2007-06-19,40.59
2007-06-20,39.75
2007-06-21,40.42
2007-06-22,39.3
2007-06-25,38.07
2007-06-26,38.36
2007-06-27,39.48
2007-06-28,38.0
2007-06-29,37.29
2007-07-02,37.87
2007-07-03,38.53
2007-07-04,37.71
2007-07-05,35.76
2007-07-06,37.36
2007-07-09,38.39
2007-07-10,38.53
2007-07-11,38.64
2007-07-12,39.14
2007-07-13,39.12
2007-07-16,38.24
2007-07-17,39.0
2007-07-18,39.37
2007-07-19,39.11
2007-07-20,40.58
2007-07-23,42.04
2007-07-24,41.96
2007-07-25,43.06
2007-07-26,42.92
2007-07-27,42.76
2007-07-30,43.73
2007-07-31,43.81
2007-08-01,42.25
2007-08-02,43.28
2007-08-03,44.96
2007-08-06,45.61
2007-08-07,45.87
2007-08-08,46.06
2007-08-09,47.08
2007-08-10,46.7
2007-08-13,47.45
2007-08-14,47.82
2007-08-15,47.24
2007-08-16,45.93
2007-08-17,43.82
2007-08-20,46.05
2007-08-21,45.73
2007-08-22,45.81
2007-08-23,46.14
2007-08-24,44.49
2007-08-27,44.4
2007-08-28,43.24
2007-08-29,42.06
2007-08-30,42.29
2007-08-31,42.64
2007-09-03,43.44
2007-09-04,43.19
2007-09-05,43.3
2007-09-06,43.92
2007-09-07,42.9
2007-09-10,43.46
2007-09-11,41.5
2007-09-12,42.03
2007-09-13,42.97
2007-09-14,43.28
2007-09-17,44.09
2007-09-18,44.0
2007-09-19,43.87
2007-09-20,44.56
2007-09-21,44.56
2007-09-24,44.9
2007-09-25,44.59
2007-09-26,43.79
2007-09-27,44.5
2007-09-28,45.73
2007-10-08,47.09
2007-10-09,47.27
2007-10-10,47.74
2007-10-11,49.16
2007-10-12,49.09
2007-10-15,50.18
2007-10-16,50.77
2007-10-17,50.25
2007-10-18,48.34
2007-10-19,48.17
2007-10-22,46.91
2007-10-23,49.0
2007-10-24,49.47
2007-10-25,47.04
2007-10-26,46.99
2007-10-29,47.17
2007-10-30,48.05
2007-10-31,47.84
2007-11-01,47.6
2007-11-02,46.15
2007-11-05,44.78
2007-11-06,43.96
2007-11-07,44.54
2007-11-08,42.29
2007-11-09,42.28
2007-11-12,41.36
2007-11-13,40.99
2007-11-14,43.05
2007-11-15,42.71
2007-11-16,42.23
2007-11-19,43.88
2007-11-20,43.87
2007-11-21,43.26
2007-11-22,41.32
2007-11-23,41.73
2007-11-26,41.1
2007-11-27,40.27
2007-11-28,39.68
2007-11-29,41.45
2007-11-30,40.32
2007-12-03,40.34
2007-12-04,40.79
2007-12-05,41.91
2007-12-06,41.83
2007-12-07,42.26
2007-12-10,42.79
2007-12-11,42.8
2007-12-12,42.05
2007-12-13,40.89
2007-12-14,41.3
2007-12-17,40.08
2007-12-18,39.76
2007-12-19,40.64
2007-12-20,41.49
2007-12-21,41.97
2007-12-24,43.05
2007-12-25,42.73
2007-12-26,42.92
2007-12-27,43.61
2007-12-28,43.17
2008-01-02,43.75
2008-01-03,44.13
2008-01-04,44.57
2008-01-07,44.71
2008-01-08,44.85
2008-01-09,45.2
2008-01-10,45.44
2008-01-11,45.71
2008-01-14,45.8
2008-01-15,45.28
2008-01-16,43.87
2008-01-17,42.68
2008-01-18,42.95
2008-01-21,40.53
2008-01-22,37.67
2008-01-23,38.77
2008-01-24,38.74
2008-01-25,39.14
2008-01-28,36.29
2008-01-29,36.51
2008-01-30,36.16
2008-01-31,35.92
2008-02-01,35.56
2008-02-04,38.47
2008-02-05,37.86
2008-02-13,36.89
2008-02-14,37.4
2008-02-15,36.91
2008-02-18,37.43
2008-02-19,38.25
2008-02-20,37.4
2008-02-21,36.97
2008-02-22,35.64
2008-02-25,34.14
2008-02-26,34.42
2008-02-27,35.22
2008-02-28,34.87
2008-02-29,35.24
2008-03-03,35.87
2008-03-04,34.91
2008-03-05,34.49
2008-03-06,35.07
2008-03-07,34.6
2008-03-10,33.25
2008-03-11,33.32
2008-03-12,32.57
2008-03-13,31.81
2008-03-14,31.72
2008-03-17,30.55
2008-03-18,29.31
2008-03-19,29.89
2008-03-20,29.98
2008-03-21,29.93
2008-03-24,28.48
2008-03-25,28.53
2008-03-26,27.86
2008-03-27,26.37
2008-03-28,27.68
2008-03-31,26.89
2008-04-01,25.83
2008-04-02,26.12
2008-04-03,26.94
2008-04-07,28.48
2008-04-08,28.54
2008-04-09,27.02
2008-04-10,27.35
2008-04-11,27.47
2008-04-14,25.91
2008-04-15,26.29
2008-04-16,25.85
2008-04-17,25.31
2008-04-18,24.28
2008-04-21,24.36
2008-04-22,24.58
2008-04-23,24.86
2008-04-24,27.13
2008-04-25,26.72
2008-04-28,26.57
2008-04-29,26.82
2008-04-30,27.41
2008-05-05,27.9
2008-05-06,27.62
2008-05-07,26.46
2008-05-08,26.97
2008-05-09,26.61
2008-05-12,26.67
2008-05-13,26.18
2008-05-14,26.93
2008-05-15,26.78
2008-05-16,26.69
2008-05-19,26.51
2008-05-20,25.35
2008-05-21,26.11
2008-05-22,25.61
2008-05-23,25.54
2008-05-26,24.74
2008-05-27,24.82
2008-05-28,25.45
2008-05-29,25.04
2008-05-30,25.3
2008-06-02,25.46
2008-06-03,25.3
2008-06-04,24.84
2008-06-05,24.71
2008-06-06,24.56
2008-06-10,22.66
2008-06-11,22.27
2008-06-12,21.77
2008-06-13,21.15
2008-06-16,21.26
2008-06-17,20.73
2008-06-18,21.81
2008-06-19,20.43
2008-06-20,21.05
2008-06-23,20.49
2008-06-24,20.78
2008-06-25,21.51
2008-06-26,21.45
2008-06-27,20.32
2008-06-30,20.19
2008-07-01,19.71
2008-07-02,19.6
2008-07-03,19.91
2008-07-04,19.66
2008-07-07,20.55
2008-07-08,20.68
2008-07-09,21.5
2008-07-10,21.22
2008-07-11,21.06
