date,pe
2007-01-15,35.13
2007-01-16,38.36
2007-01-17,38.02
2007-01-18,38.88
2007-01-19,40.2
2007-01-22,42.1
2007-01-23,42.04
2007-01-24,42.5
2007-01-25,40.43
2007-01-26,40.48
2007-01-29,41.76
2007-01-30,41.7
2007-01-31,39.62
2007-02-01,39.9
2007-02-02,39.16
2007-02-05,39.62
2007-02-06,40.43
2007-02-07,41.13
2007-02-08,41.92
2007-02-09,41.72
2007-02-12,42.65
2007-02-13,43.53
2007-02-14,44.49
2007-02-15,45.76
2007-02-16,46.4
2007-02-26,48.1
2007-02-27,43.81
2007-02-28,45.58
2007-03-01,44.46
2007-03-02,45.26
2007-03-05,45.47
2007-03-06,45.5
2007-03-07,46.65
2007-03-08,47.18
2007-03-09,46.94
2007-03-12,47.7
2007-03-13,48.18
2007-03-14,47.76
2007-03-15,48.56
2007-03-16,47.85
2007-03-19,48.49
2007-03-20,49.19
2007-03-21,49.91
2007-03-22,49.86
2007-03-23,50.39
2007-03-26,51.84
2007-03-27,52.45
2007-03-28,51.52
2007-03-29,49.84
2007-03-30,50.36
2007-04-02,51.44
2007-04-03,52.15
2007-04-04,52.81
2007-04-05,53.73
2007-04-06,54.6
2007-04-09,55.41
2007-04-10,55.48
2007-04-11,56.13
2007-04-12,57.27
2007-04-13,57.06
2007-04-16,58.51
2007-04-17,59.88
2007-04-18,60.79
2007-04-19,57.02
2007-04-20,59.1
2007-04-23,60.86
2007-04-24,61.12
2007-04-25,60.22
2007-04-26,60.12
2007-04-27,59.32
2007-04-30,58.93
2007-05-08,61.67
2007-05-09,61.62
2007-05-10,62.0
2007-05-11,61.69
2007-05-14,61.96
2007-05-15,59.91
2007-05-16,61.76
2007-05-17,63.35
2007-05-18,63.5
2007-05-21,65.36
2007-05-22,66.73
2007-05-23,68.58
2007-05-24,68.29
2007-05-25,69.55
2007-05-28,71.32
2007-05-29,72.83
2007-05-30,66.92
2007-05-31,64.53
2007-06-01,60.13
2007-06-04,54.96
2007-06-05,55.85
2007-06-06,57.07
2007-06-07,60.08
2007-06-08,61.19
2007-06-11,62.92
2007-06-12,64.82
2007-06-13,67.0
2007-06-14,66.09
2007-06-15,66.28
2007-06-18,68.21
2007-06-19,69.47
2007-06-20,67.56
2007-06-21,67.26
2007-06-22,63.55
2007-06-25,59.5
2007-06-26,60.72
2007-06-27,62.14
2007-06-28,58.07
2007-06-29,55.54
2007-07-02,54.11
2007-07-03,55.17
2007-07-04,54.01
2007-07-05,50.41
2007-07-06,53.49
2007-07-09,55.27
2007-07-10,53.48
2007-07-11,54.13
2007-07-12,54.24
2007-07-13,54.09
2007-07-16,52.19
2007-07-17,53.19
2007-07-18,53.3
2007-07-19,53.47
2007-07-20,55.38
2007-07-23,57.83
2007-07-24,58.0
2007-07-25,59.31
2007-07-26,60.14
2007-07-27,60.93
2007-07-30,61.88
2007-07-31,62.06
2007-08-01,58.73
2007-08-02,61.24
2007-08-03,62.17
2007-08-06,63.41
2007-08-07,62.71
2007-08-08,61.52
2007-08-09,61.53
2007-08-10,60.01
2007-08-13,59.29
2007-08-14,60.08
2007-08-15,59.49
2007-08-16,59.5
2007-08-17,58.51
2007-08-20,60.63
2007-08-21,60.86
2007-08-22,61.38
2007-08-23,61.94
2007-08-24,61.88
2007-08-27,60.49
2007-08-28,60.25
2007-08-29,59.34
2007-08-30,61.01
2007-08-31,61.44
2007-09-03,62.86
2007-09-04,62.57
2007-09-05,63.02
2007-09-06,63.78
2007-09-07,62.26
2007-09-10,63.48
2007-09-11,59.41
2007-09-12,59.99
2007-09-13,61.27
2007-09-14,61.94
2007-09-17,63.36
2007-09-18,64.05
2007-09-19,63.27
2007-09-20,63.96
2007-09-21,63.35
2007-09-24,63.64
2007-09-25,63.1
2007-09-26,62.15
2007-09-27,62.84
2007-09-28,64.29
2007-10-08,64.33
2007-10-09,64.95
2007-10-10,64.51
2007-10-11,63.25
2007-10-12,61.91
2007-10-15,61.89
2007-10-16,62.46
2007-10-17,61.44
2007-10-18,59.91
2007-10-19,59.74
2007-10-22,57.54
2007-10-23,56.9
2007-10-24,55.22
2007-10-25,50.7
2007-10-26,49.11
2007-10-29,49.27
2007-10-30,50.02
2007-10-31,51.59
2007-11-01,50.26
2007-11-02,48.97
2007-11-05,49.28
2007-11-06,49.72
2007-11-07,49.61
2007-11-08,47.57
2007-11-09,46.98
2007-11-12,46.26
2007-11-13,46.41
2007-11-14,48.2
2007-11-15,47.63
2007-11-16,47.68
2007-11-19,48.77
2007-11-20,49.5
2007-11-21,48.82
2007-11-22,46.62
2007-11-23,47.53
2007-11-26,47.05
2007-11-27,46.55
2007-11-28,46.16
2007-11-29,47.43
2007-11-30,46.71
2007-12-03,47.22
2007-12-04,47.53
2007-12-05,48.49
2007-12-06,48.71
2007-12-07,49.55
2007-12-10,50.99
2007-12-11,51.54
2007-12-12,51.65
2007-12-13,50.02
2007-12-14,51.11
2007-12-17,51.15
2007-12-18,50.81
2007-12-19,51.94
2007-12-20,52.62
2007-12-21,53.43
2007-12-24,54.34
2007-12-25,54.8
2007-12-26,55.92
2007-12-27,56.51
2007-12-28,56.38
2008-01-02,59.71
2008-01-03,61.2
2008-01-04,61.35
2008-01-07,62.58
2008-01-08,60.83
2008-01-09,62.3
2008-01-10,62.62
2008-01-11,62.51
2008-01-14,63.4
2008-01-15,64.25
2008-01-16,63.21
2008-01-17,61.52
2008-01-18,61.88
2008-01-21,59.23
2008-01-22,54.18
2008-01-23,56.9
2008-01-24,58.81
2008-01-25,59.0
2008-01-28,54.93
2008-01-29,56.14
2008-01-30,56.26
2008-01-31,54.05
2008-02-01,51.62
2008-02-04,55.45
2008-02-05,55.65
2008-02-13,55.32
2008-02-14,56.45
2008-02-15,56.16
2008-02-18,58.07
2008-02-19,59.39
2008-02-20,58.77
2008-02-21,59.35
2008-02-22,57.74
2008-02-25,55.65
2008-02-26,55.44
2008-02-27,56.69
2008-02-28,56.77
2008-02-29,57.58
2008-03-03,59.23
2008-03-04,58.63
2008-03-05,58.82
2008-03-06,58.93
2008-03-07,57.77
2008-03-10,55.78
2008-03-11,56.34
2008-03-12,54.95
2008-03-13,52.83
2008-03-14,52.42
2008-03-17,48.29
2008-03-18,44.55
2008-03-19,46.8
2008-03-20,48.72
2008-03-21,49.11
2008-03-24,48.07
2008-03-25,48.64
2008-03-26,48.44
2008-03-27,45.94
2008-03-28,47.2
2008-03-31,45.1
2008-04-01,41.23
2008-04-02,39.06
2008-04-03,40.08
2008-04-07,42.49
2008-04-08,43.33
2008-04-09,41.09
2008-04-10,42.06
2008-04-11,42.66
2008-04-14,39.78
2008-04-15,40.68
2008-04-16,39.34
2008-04-17,37.96
2008-04-18,35.8
2008-04-21,35.45
2008-04-22,33.97
2008-04-23,35.24
2008-04-24,38.12
2008-04-25,38.19
2008-04-28,37.57
2008-04-29,37.3
2008-04-30,38.7
2008-05-05,40.15
2008-05-06,39.95
2008-05-07,38.16
2008-05-08,39.53
2008-05-09,39.52
2008-05-12,40.61
2008-05-13,40.65
2008-05-14,41.56
2008-05-15,41.21
2008-05-16,40.62
2008-05-19,40.64
2008-05-20,38.11
2008-05-21,39.03
2008-05-22,38.72
2008-05-23,38.3
2008-05-26,37.33
2008-05-27,37.48
2008-05-28,38.48
2008-05-29,37.49
2008-05-30,37.53
2008-06-02,37.88
2008-06-03,37.71
2008-06-04,37.07
2008-06-05,36.66
2008-06-06,36.37
2008-06-10,33.23
2008-06-11,32.35
2008-06-12,32.06
2008-06-13,30.56
2008-06-16,29.9
2008-06-17,28.06
2008-06-18,29.68
2008-06-19,27.21
2008-06-20,27.83
2008-06-23,27.3
2008-06-24,28.21
2008-06-25,29.82
2008-06-26,30.17
2008-06-27,28.03
2008-06-30,28.26
2008-07-01,27.46
2008-07-02,27.86
2008-07-03,29.17
2008-07-04,29.18
2008-07-07,30.71
2008-07-08,31.2
2008-07-09,32.03
2008-07-10,31.27
2008-07-11,31.11
2008-07-14,32.03
2008-07-15,31.14
2008-07-16,29.53
2008-07-17,29.24
2008-07-18,30.12
2008-07-21,31.34
2008-07-22,31.37
2008-07-23,31.11
2008-07-24,31.77
2008-07-25,31.44
2008-07-28,31.65
2008-07-29,30.99
2008-07-30,30.68
2008-07-31,29.56
2008-08-01,30.08
2008-08-04,29.36
2008-08-05,28.38
2008-08-06,28.36
2008-08-07,28.56
2008-08-08,26.53
2008-08-11,24.57
2008-08-12,24.23
2008-08-13,24.23
2008-08-14,24.42
2008-08-15,24.14
2008-08-18,22.32
2008-08-19,22.6
2008-08-20,24.31
2008-08-21,23.35
2008-08-22,22.66
2008-08-25,22.56
2008-08-26,21.36
2008-08-27,21.25
2008-08-28,21.14
2008-08-29,21.86
2008-09-01,21.11
2008-09-02,21.21
2008-09-03,21.01
2008-09-04,21.2
2008-09-05,20.17
2008-09-08,19.14
2008-09-09,19.3
2008-09-10,19.43
2008-09-11,19.07
2008-09-12,19.12
2008-09-16,18.72
2008-09-17,18.37
2008-09-18,17.84
2008-09-19,19.6
2008-09-22,20.51
2008-09-23,19.17
2008-09-24,19.61
2008-09-25,20.08
2008-09-26,20.09
2008-10-06,19.29
2008-10-07,19.22
2008-10-08,18.75
2008-10-09,18.5
2008-10-10,17.26
2008-10-13,17.65
2008-10-14,17.09
2008-10-15,17.02
2008-10-16,16.04
2008-10-17,16.21
2008-10-20,16.81
2008-10-21,16.7
2008-10-22,16.42
2008-10-23,16.55
2008-10-24,16.33
2008-10-27,15.18
2008-10-28,15.35
2008-10-29,14.76
2008-10-30,14.94
2008-10-31,14.68
2008-11-03,14.48
2008-11-04,14.22
2008-11-05,14.67
2008-11-06,14.42
2008-11-07,14.64
2008-11-10,15.67
2008-11-11,15.57
2008-11-12,15.95
2008-11-13,16.71
2008-11-14,17.5
2008-11-17,18.34
2008-11-18,16.94
2008-11-19,18.15
2008-11-20,18.19
2008-11-21,17.96
2008-11-24,17.23
2008-11-25,17.11
2008-11-26,17.19
2008-11-27,17.44
2008-11-28,17.22
2008-12-01,17.94
2008-12-02,18.29
2008-12-03,19.08
2008-12-04,19.08
2008-12-05,19.65
2008-12-08,20.51
2008-12-09,20.0
2008-12-10,20.55
2008-12-11,19.9
2008-12-12,19.01
2008-12-15,19.39
2008-12-16,19.76
2008-12-17,20.01
2008-12-18,20.4
2008-12-19,20.61
2008-12-22,20.6
2008-12-23,19.29
2008-12-24,18.89
2008-12-25,18.82
2008-12-26,18.68
2008-12-29,18.69
2008-12-30,18.58
2008-12-31,18.31
2009-01-05,19.26
2009-01-06,20.03
2009-01-07,20.14
2009-01-08,19.68
2009-01-09,20.22
2009-01-12,20.52
2009-01-13,19.99
2009-01-14,20.77
2009-01-15,20.96
2009-01-16,21.1
2009-01-19,21.17
2009-01-20,21.38
2009-01-21,21.41
